id,location,fx_version,os,version,survey_answers,number_extensions
66,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",7
67,"",3.6.12,"WINNT Windows NT 5.1",1.0.1,"",5
68,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
69,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",8
70,"",3.6.12,"WINNT Windows NT 6.1",1.0.1,"",19
71,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",15
72,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
73,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",10
74,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
75,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",8
76,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",7
77,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
78,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",7
79,"",4.0b7,"WINNT Windows NT 5.1",1.0.3,"",8
80,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",5
81,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
82,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",6
83,"",4.0b6,"WINNT Windows NT 6.0",1.0.1,"",16
84,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
85,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",8
86,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
87,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",6
88,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",6
89,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
90,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
91,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
92,"",3.6.12,"WINNT Windows NT 5.1",1.0.3,"",8
93,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",12
94,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",5
95,"",4.0b4,"WINNT Windows NT 5.1",1.0.2,"",9
96,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
97,"",4.0b4,"WINNT Windows NT 5.1",1.0.2,"",6
98,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
99,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",11
100,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",15
101,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",7
102,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",5
103,"",4.0b7,"WINNT Windows NT 6.1",1.0.3,"",6
104,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
105,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
106,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",8
107,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
108,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
109,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
110,"",4.0b4,"WINNT Windows NT 5.1",1.0.1,"",7
111,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",4
112,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
113,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
114,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",2
115,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",2
116,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
117,"",4.0b3,"WINNT Windows NT 6.1",1.0.1,"",1
118,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",7
119,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",16
120,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
121,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",5
122,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
123,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",6
124,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
125,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",9
126,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
127,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",2
128,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
129,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
130,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
131,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",5
132,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
133,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",10
135,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",10
136,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",6
137,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",7
138,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",1
139,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
140,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",6
141,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
142,"",4.0b3,"WINNT Windows NT 6.1; WOW64",1.0.1,"",2
143,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",54
144,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
145,"",4.0b4,"WINNT Windows NT 5.1",1.0.2,"",1
146,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
147,"",4.0b6,"WINNT Windows NT 5.2; WOW64",1.0.3,"",14
148,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
149,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
150,"",4.0b7,"WINNT Windows NT 5.1",1.0.3,"",7
151,"",3.6.12,"WINNT Windows NT 5.1",1.0.1,"",21
152,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
153,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",4
154,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
155,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",1
156,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",6
157,"",4.0b6,"Linux Linux i686",1.0.3,"",1
158,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
159,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
160,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",7
161,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",10
162,"",4.0b3,"WINNT Windows NT 6.1",1.0.1,"",1
163,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",7
164,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",7
165,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
166,"",4.0b3,"WINNT Windows NT 6.1; WOW64",1.0.1,"",3
167,"",4.0b6,"WINNT Windows NT 6.0; WOW64",1.0.3,"",3
168,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",4
169,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",2
170,"",3.6.12,"WINNT Windows NT 5.1",1.0.1,"",9
171,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",4
172,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",2
173,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
174,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",9
175,"",4.0b4,"WINNT Windows NT 6.1",1.0.2,"",3
176,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",8
177,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",14
178,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",10
179,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
180,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
181,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
182,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
183,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
184,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
185,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
186,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
187,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
188,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
189,"",4.0b6,"Darwin Intel Mac OS X 10.5",1.0.3,"",2
190,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
191,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",15
192,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
193,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
194,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
195,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
196,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
197,"",3.6.12,"WINNT Windows NT 5.1",1.0.1,"",6
198,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
199,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",18
200,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",5
201,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
202,"",4.0b4,"WINNT Windows NT 6.1; WOW64",1.0.2,"",6
203,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
204,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",9
205,"",3.6.12,"WINNT Windows NT 5.1",1.0.1,"",12
206,"",4.0b6,"WINNT Windows NT 6.0; WOW64",1.0.3,"",5
207,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",7
208,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",1
209,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
210,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
211,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",13
212,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
213,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",2
214,"",4.0b2,"WINNT Windows NT 5.1",1.0,"",2
215,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",8
216,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",21
217,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",10
218,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
219,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
220,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
221,"",4.0b4,"WINNT Windows NT 6.1",1.0.2,"",3
222,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
223,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",10
224,"",4.0b5,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
225,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",10
226,"",4.0b4,"WINNT Windows NT 6.1",1.0.2,"",5
227,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
228,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
229,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",11
230,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
231,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",7
232,"",4.0b4,"WINNT Windows NT 5.1",1.0.2,"",3
233,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
234,"",4.0b4,"WINNT Windows NT 6.1",1.0.2,"",3
235,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",6
236,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",2
237,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",25
238,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
239,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
240,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
241,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
242,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
243,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",2
244,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",5
245,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",7
247,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
248,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",1
249,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",2
250,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",8
251,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",6
252,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
253,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",7
254,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
255,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
256,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",9
257,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",9
258,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
259,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",9
260,"",4.0b5,"WINNT Windows NT 5.1",1.0.3,"",6
261,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
262,"",4.0b6,"WINNT Windows NT 5.2; WOW64",1.0.3,"",7
263,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
264,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
265,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
266,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
267,"",4.0b4,"WINNT Windows NT 6.1; WOW64",1.0.2,"",6
268,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
269,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",8
270,"",4.0b7,"WINNT Windows NT 5.1",1.0.3,"",4
271,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
272,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
273,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
274,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
275,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",12
276,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
277,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
278,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",5
279,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",11
280,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",6
281,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
282,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
283,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",5
284,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",8
285,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
286,"",3.6.12,"WINNT Windows NT 5.1",1.0.1,"",11
287,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",2
288,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",12
289,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
290,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
291,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
292,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",10
293,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",2
294,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",10
295,"",3.5.15,"WINNT Windows NT 5.1",1.0.3,"",6
296,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
297,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
298,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",5
299,"",3.6.12,"WINNT Windows NT 6.1",1.0.1,"",13
300,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
301,"",4.0b4,"WINNT Windows NT 5.1",1.0.2,"",3
302,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",9
303,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
304,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
305,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
306,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
307,"",4.0b6,"WINNT Windows NT 6.0; WOW64",1.0.3,"",11
308,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
309,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",7
310,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",2
311,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",8
312,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",2
313,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
314,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
315,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",9
316,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
317,"",4.0b7,"WINNT Windows NT 6.1; WOW64",1.0.3,"",12
318,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
319,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",6
320,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
321,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",13
322,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
323,"",4.0b6,"WINNT Windows NT 5.1",1.0.1,"",8
324,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
325,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
326,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
327,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
328,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
329,"",4.0b7,"WINNT Windows NT 6.1",1.0.3,"",1
330,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",16
331,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
332,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",2
333,"",4.0b7,"WINNT Windows NT 5.1",1.0.3,"",2
334,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",2
335,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",4
336,"",3.6.12,"WINNT Windows NT 5.1",1.0.1,"",25
337,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",22
338,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
339,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
340,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
341,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
342,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
343,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",2
344,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
345,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
346,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
347,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",9
348,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",10
349,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
350,"",4.0b7,"WINNT Windows NT 6.1",1.0.3,"",10
351,"",4.0b5,"WINNT Windows NT 5.1",1.0.3,"",10
352,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
353,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
354,"",4.0b4,"WINNT Windows NT 6.1",1.0.2,"",5
355,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",18
356,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",11
357,"",3.6.12,"WINNT Windows NT 6.1",1.0.1,"",28
358,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
359,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
360,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
361,"",4.0b6,"WINNT Windows NT 6.0; WOW64",1.0.3,"",8
362,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",7
363,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
364,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",6
365,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",8
366,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
367,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",6
368,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
369,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
370,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
371,"",4.0b6,"WINNT Windows NT 5.2",1.0.3,"",1
372,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",8
373,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
374,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
375,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
376,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
377,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
378,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
379,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
380,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",10
381,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",8
382,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",5
383,"",4.0b5,"WINNT Windows NT 5.1",1.0.3,"",2
